user_id,community_type,community_id,community_size
user_0000,families,families_0,4
user_0001,families,families_0,4
user_0002,families,families_0,4
user_0003,families,families_0,4
user_0004,families,families_1,2
user_0005,families,families_1,2
user_0006,families,families_2,3
user_0007,families,families_2,3
user_0008,families,families_2,3
user_0009,families,families_3,3
user_0010,families,families_3,3
user_0011,families,families_3,3
user_0012,families,families_4,4
user_0013,families,families_4,4
user_0014,families,families_4,4
user_0015,families,families_4,4
user_0016,families,families_5,4
user_0017,families,families_5,4
user_0018,families,families_5,4
user_0019,families,families_5,4
user_0020,families,families_6,4
user_0021,families,families_6,4
user_0022,families,families_6,4
user_0023,families,families_6,4
user_0024,families,families_7,2
user_0025,families,families_7,2
user_0026,families,families_8,3
user_0027,families,families_8,3
user_0028,families,families_8,3
user_0029,families,families_9,2
user_0030,families,families_9,2
user_0031,families,families_10,3
user_0032,families,families_10,3
user_0033,families,families_10,3
user_0034,families,families_11,3
user_0035,families,families_11,3
user_0036,families,families_11,3
user_0037,families,families_12,2
user_0038,families,families_12,2
user_0039,families,families_13,2
user_0040,families,families_13,2
user_0041,families,families_14,4
user_0042,families,families_14,4
user_0043,families,families_14,4
user_0044,families,families_14,4
user_0045,families,families_15,3
user_0046,families,families_15,3
user_0047,families,families_15,3
user_0048,families,families_16,3
user_0049,families,families_16,3
user_0050,families,families_16,3
user_0051,families,families_17,3
user_0052,families,families_17,3
user_0053,families,families_17,3
user_0054,families,families_18,4
user_0055,families,families_18,4
user_0056,families,families_18,4
user_0057,families,families_18,4
user_0058,families,families_19,2
user_0059,families,families_19,2
user_0060,families,families_20,4
user_0061,families,families_20,4
user_0062,families,families_20,4
user_0063,families,families_20,4
user_0064,families,families_21,4
user_0065,families,families_21,4
user_0066,families,families_21,4
user_0067,families,families_21,4
user_0068,families,families_22,3
user_0069,families,families_22,3
user_0070,families,families_22,3
user_0071,families,families_23,2
user_0072,families,families_23,2
user_0073,families,families_24,5
user_0074,families,families_24,5
user_0075,families,families_24,5
user_0076,families,families_24,5
user_0077,families,families_24,5
user_0078,families,families_25,3
user_0079,families,families_25,3
user_0080,families,families_25,3
user_0081,families,families_26,2
user_0082,families,families_26,2
user_0083,families,families_27,2
user_0084,families,families_27,2
user_0085,families,families_28,4
user_0086,families,families_28,4
user_0087,families,families_28,4
user_0088,families,families_28,4
user_0089,families,families_29,4
user_0090,families,families_29,4
user_0091,families,families_29,4
user_0092,families,families_29,4
user_0093,families,families_30,4
user_0094,families,families_30,4
user_0095,families,families_30,4
user_0096,families,families_30,4
user_0097,families,families_31,4
user_0098,families,families_31,4
user_0099,families,families_31,4
user_0100,families,families_31,4
user_0101,families,families_32,3
user_0102,families,families_32,3
user_0103,families,families_32,3
user_0104,families,families_33,5
user_0105,families,families_33,5
user_0106,families,families_33,5
user_0107,families,families_33,5
user_0108,families,families_33,5
user_0109,families,families_34,3
user_0110,families,families_34,3
user_0111,families,families_34,3
user_0112,families,families_35,3
user_0113,families,families_35,3
user_0114,families,families_35,3
user_0115,families,families_36,4
user_0116,families,families_36,4
user_0117,families,families_36,4
user_0118,families,families_36,4
user_0119,families,families_37,4
user_0120,families,families_37,4
user_0121,families,families_37,4
user_0122,families,families_37,4
user_0123,families,families_38,4
user_0124,families,families_38,4
user_0125,families,families_38,4
user_0126,families,families_38,4
user_0127,families,families_39,3
user_0128,families,families_39,3
user_0129,families,families_39,3
user_0130,families,families_40,4
user_0131,families,families_40,4
user_0132,families,families_40,4
user_0133,families,families_40,4
user_0134,families,families_41,2
user_0135,families,families_41,2
user_0136,families,families_42,3
user_0137,families,families_42,3
user_0138,families,families_42,3
user_0139,families,families_43,3
user_0140,families,families_43,3
user_0141,families,families_43,3
user_0142,families,families_44,2
user_0143,families,families_44,2
user_0144,families,families_45,3
user_0145,families,families_45,3
user_0146,families,families_45,3
user_0147,families,families_46,2
user_0148,families,families_46,2
user_0149,families,families_47,3
user_0150,families,families_47,3
user_0151,families,families_47,3
user_0152,families,families_48,4
user_0153,families,families_48,4
user_0154,families,families_48,4
user_0155,families,families_48,4
user_0156,families,families_49,3
user_0157,families,families_49,3
user_0158,families,families_49,3
user_0159,families,families_50,3
user_0160,families,families_50,3
user_0161,families,families_50,3
user_0162,families,families_51,3
user_0163,families,families_51,3
user_0164,families,families_51,3
user_0165,families,families_52,3
user_0166,families,families_52,3
user_0167,families,families_52,3
user_0168,families,families_53,5
user_0169,families,families_53,5
user_0170,families,families_53,5
user_0171,families,families_53,5
user_0172,families,families_53,5
user_0173,families,families_54,4
user_0174,families,families_54,4
user_0175,families,families_54,4
user_0176,families,families_54,4
user_0177,families,families_55,4
user_0178,families,families_55,4
user_0179,families,families_55,4
user_0180,families,families_55,4
user_0181,families,families_56,2
user_0182,families,families_56,2
user_0183,families,families_57,4
user_0184,families,families_57,4
user_0185,families,families_57,4
user_0186,families,families_57,4
user_0187,families,families_58,2
user_0188,families,families_58,2
user_0189,families,families_59,3
user_0190,families,families_59,3
user_0191,families,families_59,3
user_0192,families,families_60,5
user_0193,families,families_60,5
user_0194,families,families_60,5
user_0195,families,families_60,5
user_0196,families,families_60,5
user_0197,families,families_61,4
user_0198,families,families_61,4
user_0199,families,families_61,4
user_0200,families,families_61,4
user_0201,families,families_62,3
user_0202,families,families_62,3
user_0203,families,families_62,3
user_0204,families,families_63,4
user_0205,families,families_63,4
user_0206,families,families_63,4
user_0207,families,families_63,4
user_0208,families,families_64,4
user_0209,families,families_64,4
user_0210,families,families_64,4
user_0211,families,families_64,4
user_0212,families,families_65,4
user_0213,families,families_65,4
user_0214,families,families_65,4
user_0215,families,families_65,4
user_0216,families,families_66,3
user_0217,families,families_66,3
user_0218,families,families_66,3
user_0219,families,families_67,2
user_0220,families,families_67,2
user_0221,families,families_68,3
user_0222,families,families_68,3
user_0223,families,families_68,3
user_0224,families,families_69,3
user_0225,families,families_69,3
user_0226,families,families_69,3
user_0227,families,families_70,3
user_0228,families,families_70,3
user_0229,families,families_70,3
user_0230,families,families_71,5
user_0231,families,families_71,5
user_0232,families,families_71,5
user_0233,families,families_71,5
user_0234,families,families_71,5
user_0235,families,families_72,4
user_0236,families,families_72,4
user_0237,families,families_72,4
user_0238,families,families_72,4
user_0239,families,families_73,3
user_0240,families,families_73,3
user_0241,families,families_73,3
user_0242,families,families_74,4
user_0243,families,families_74,4
user_0244,families,families_74,4
user_0245,families,families_74,4
user_0246,families,families_75,3
user_0247,families,families_75,3
user_0248,families,families_75,3
user_0249,families,families_76,5
user_0250,families,families_76,5
user_0251,families,families_76,5
user_0252,families,families_76,5
user_0253,families,families_76,5
user_0254,families,families_77,3
user_0255,families,families_77,3
user_0256,families,families_77,3
user_0257,families,families_78,3
user_0258,families,families_78,3
user_0259,families,families_78,3
user_0260,families,families_79,3
user_0261,families,families_79,3
user_0262,families,families_79,3
user_0263,work_groups,work_groups_0,5
user_0264,work_groups,work_groups_0,5
user_0265,work_groups,work_groups_0,5
user_0266,work_groups,work_groups_0,5
user_0267,work_groups,work_groups_0,5
user_0268,work_groups,work_groups_1,3
user_0269,work_groups,work_groups_1,3
user_0270,work_groups,work_groups_1,3
user_0271,work_groups,work_groups_2,5
user_0272,work_groups,work_groups_2,5
user_0273,work_groups,work_groups_2,5
user_0274,work_groups,work_groups_2,5
user_0275,work_groups,work_groups_2,5
user_0276,work_groups,work_groups_3,8
user_0277,work_groups,work_groups_3,8
user_0278,work_groups,work_groups_3,8
user_0279,work_groups,work_groups_3,8
user_0280,work_groups,work_groups_3,8
user_0281,work_groups,work_groups_3,8
user_0282,work_groups,work_groups_3,8
user_0283,work_groups,work_groups_3,8
user_0284,work_groups,work_groups_4,5
user_0285,work_groups,work_groups_4,5
user_0286,work_groups,work_groups_4,5
user_0287,work_groups,work_groups_4,5
user_0288,work_groups,work_groups_4,5
user_0289,work_groups,work_groups_5,3
user_0290,work_groups,work_groups_5,3
user_0291,work_groups,work_groups_5,3
user_0292,work_groups,work_groups_6,12
user_0293,work_groups,work_groups_6,12
user_0294,work_groups,work_groups_6,12
user_0295,work_groups,work_groups_6,12
user_0296,work_groups,work_groups_6,12
user_0297,work_groups,work_groups_6,12
user_0298,work_groups,work_groups_6,12
user_0299,work_groups,work_groups_6,12
user_0300,work_groups,work_groups_6,12
user_0301,work_groups,work_groups_6,12
user_0302,work_groups,work_groups_6,12
user_0303,work_groups,work_groups_6,12
user_0304,work_groups,work_groups_7,5
user_0305,work_groups,work_groups_7,5
user_0306,work_groups,work_groups_7,5
user_0307,work_groups,work_groups_7,5
user_0308,work_groups,work_groups_7,5
user_0309,work_groups,work_groups_8,3
user_0310,work_groups,work_groups_8,3
user_0311,work_groups,work_groups_8,3
user_0312,work_groups,work_groups_9,3
user_0313,work_groups,work_groups_9,3
user_0314,work_groups,work_groups_9,3
user_0315,work_groups,work_groups_10,3
user_0316,work_groups,work_groups_10,3
user_0317,work_groups,work_groups_10,3
user_0318,work_groups,work_groups_11,5
user_0319,work_groups,work_groups_11,5
user_0320,work_groups,work_groups_11,5
user_0321,work_groups,work_groups_11,5
user_0322,work_groups,work_groups_11,5
user_0323,work_groups,work_groups_12,8
user_0324,work_groups,work_groups_12,8
user_0325,work_groups,work_groups_12,8
user_0326,work_groups,work_groups_12,8
user_0327,work_groups,work_groups_12,8
user_0328,work_groups,work_groups_12,8
user_0329,work_groups,work_groups_12,8
user_0330,work_groups,work_groups_12,8
user_0331,work_groups,work_groups_13,5
user_0332,work_groups,work_groups_13,5
user_0333,work_groups,work_groups_13,5
user_0334,work_groups,work_groups_13,5
user_0335,work_groups,work_groups_13,5
user_0336,work_groups,work_groups_14,3
user_0337,work_groups,work_groups_14,3
user_0338,work_groups,work_groups_14,3
user_0339,work_groups,work_groups_15,5
user_0340,work_groups,work_groups_15,5
user_0341,work_groups,work_groups_15,5
user_0342,work_groups,work_groups_15,5
user_0343,work_groups,work_groups_15,5
user_0344,work_groups,work_groups_16,12
user_0345,work_groups,work_groups_16,12
user_0346,work_groups,work_groups_16,12
user_0347,work_groups,work_groups_16,12
user_0348,work_groups,work_groups_16,12
user_0349,work_groups,work_groups_16,12
user_0350,work_groups,work_groups_16,12
user_0351,work_groups,work_groups_16,12
user_0352,work_groups,work_groups_16,12
user_0353,work_groups,work_groups_16,12
user_0354,work_groups,work_groups_16,12
user_0355,work_groups,work_groups_16,12
user_0356,work_groups,work_groups_17,5
user_0357,work_groups,work_groups_17,5
user_0358,work_groups,work_groups_17,5
user_0359,work_groups,work_groups_17,5
user_0360,work_groups,work_groups_17,5
user_0361,work_groups,work_groups_18,12
user_0362,work_groups,work_groups_18,12
user_0363,work_groups,work_groups_18,12
user_0364,work_groups,work_groups_18,12
user_0365,work_groups,work_groups_18,12
user_0366,work_groups,work_groups_18,12
user_0367,work_groups,work_groups_18,12
user_0368,work_groups,work_groups_18,12
user_0369,work_groups,work_groups_18,12
user_0370,work_groups,work_groups_18,12
user_0371,work_groups,work_groups_18,12
user_0372,work_groups,work_groups_18,12
user_0373,work_groups,work_groups_19,8
user_0374,work_groups,work_groups_19,8
user_0375,work_groups,work_groups_19,8
user_0376,work_groups,work_groups_19,8
user_0377,work_groups,work_groups_19,8
user_0378,work_groups,work_groups_19,8
user_0379,work_groups,work_groups_19,8
user_0380,work_groups,work_groups_19,8
user_0381,work_groups,work_groups_20,3
user_0382,work_groups,work_groups_20,3
user_0383,work_groups,work_groups_20,3
user_0384,work_groups,work_groups_21,8
user_0385,work_groups,work_groups_21,8
user_0386,work_groups,work_groups_21,8
user_0387,work_groups,work_groups_21,8
user_0388,work_groups,work_groups_21,8
user_0389,work_groups,work_groups_21,8
user_0390,work_groups,work_groups_21,8
user_0391,work_groups,work_groups_21,8
user_0392,work_groups,work_groups_22,5
user_0393,work_groups,work_groups_22,5
user_0394,work_groups,work_groups_22,5
user_0395,work_groups,work_groups_22,5
user_0396,work_groups,work_groups_22,5
user_0397,work_groups,work_groups_23,5
user_0398,work_groups,work_groups_23,5
user_0399,work_groups,work_groups_23,5
user_0400,work_groups,work_groups_23,5
user_0401,work_groups,work_groups_23,5
user_0402,work_groups,work_groups_24,3
user_0403,work_groups,work_groups_24,3
user_0404,work_groups,work_groups_24,3
user_0405,work_groups,work_groups_25,5
user_0406,work_groups,work_groups_25,5
user_0407,work_groups,work_groups_25,5
user_0408,work_groups,work_groups_25,5
user_0409,work_groups,work_groups_25,5
user_0410,work_groups,work_groups_26,3
user_0411,work_groups,work_groups_26,3
user_0412,work_groups,work_groups_26,3
user_0413,work_groups,work_groups_27,5
user_0414,work_groups,work_groups_27,5
user_0415,work_groups,work_groups_27,5
user_0416,work_groups,work_groups_27,5
user_0417,work_groups,work_groups_27,5
user_0418,work_groups,work_groups_28,5
user_0419,work_groups,work_groups_28,5
user_0420,work_groups,work_groups_28,5
user_0421,work_groups,work_groups_28,5
user_0422,work_groups,work_groups_28,5
user_0423,work_groups,work_groups_29,12
user_0424,work_groups,work_groups_29,12
user_0425,work_groups,work_groups_29,12
user_0426,work_groups,work_groups_29,12
user_0427,work_groups,work_groups_29,12
user_0428,work_groups,work_groups_29,12
user_0429,work_groups,work_groups_29,12
user_0430,work_groups,work_groups_29,12
user_0431,work_groups,work_groups_29,12
user_0432,work_groups,work_groups_29,12
user_0433,work_groups,work_groups_29,12
user_0434,work_groups,work_groups_29,12
user_0435,friend_circles,friend_circles_0,4
user_0436,friend_circles,friend_circles_0,4
user_0437,friend_circles,friend_circles_0,4
user_0438,friend_circles,friend_circles_0,4
user_0439,friend_circles,friend_circles_1,4
user_0440,friend_circles,friend_circles_1,4
user_0441,friend_circles,friend_circles_1,4
user_0442,friend_circles,friend_circles_1,4
user_0443,friend_circles,friend_circles_2,4
user_0444,friend_circles,friend_circles_2,4
user_0445,friend_circles,friend_circles_2,4
user_0446,friend_circles,friend_circles_2,4
user_0447,friend_circles,friend_circles_3,4
user_0448,friend_circles,friend_circles_3,4
user_0449,friend_circles,friend_circles_3,4
user_0450,friend_circles,friend_circles_3,4
user_0451,friend_circles,friend_circles_4,4
user_0452,friend_circles,friend_circles_4,4
user_0453,friend_circles,friend_circles_4,4
user_0454,friend_circles,friend_circles_4,4
user_0455,friend_circles,friend_circles_5,4
user_0456,friend_circles,friend_circles_5,4
user_0457,friend_circles,friend_circles_5,4
user_0458,friend_circles,friend_circles_5,4
user_0459,friend_circles,friend_circles_6,4
user_0460,friend_circles,friend_circles_6,4
user_0461,friend_circles,friend_circles_6,4
user_0462,friend_circles,friend_circles_6,4
user_0463,friend_circles,friend_circles_7,4
user_0464,friend_circles,friend_circles_7,4
user_0465,friend_circles,friend_circles_7,4
user_0466,friend_circles,friend_circles_7,4
user_0467,friend_circles,friend_circles_8,4
user_0468,friend_circles,friend_circles_8,4
user_0469,friend_circles,friend_circles_8,4
user_0470,friend_circles,friend_circles_8,4
user_0471,friend_circles,friend_circles_9,4
user_0472,friend_circles,friend_circles_9,4
user_0473,friend_circles,friend_circles_9,4
user_0474,friend_circles,friend_circles_9,4
user_0475,friend_circles,friend_circles_10,4
user_0476,friend_circles,friend_circles_10,4
user_0477,friend_circles,friend_circles_10,4
user_0478,friend_circles,friend_circles_10,4
user_0479,friend_circles,friend_circles_11,4
user_0480,friend_circles,friend_circles_11,4
user_0481,friend_circles,friend_circles_11,4
user_0482,friend_circles,friend_circles_11,4
user_0483,friend_circles,friend_circles_12,4
user_0484,friend_circles,friend_circles_12,4
user_0485,friend_circles,friend_circles_12,4
user_0486,friend_circles,friend_circles_12,4
user_0487,friend_circles,friend_circles_13,4
user_0488,friend_circles,friend_circles_13,4
user_0489,friend_circles,friend_circles_13,4
user_0490,friend_circles,friend_circles_13,4
user_0491,friend_circles,friend_circles_14,4
user_0492,friend_circles,friend_circles_14,4
user_0493,friend_circles,friend_circles_14,4
user_0494,friend_circles,friend_circles_14,4
user_0495,friend_circles,friend_circles_15,4
user_0496,friend_circles,friend_circles_15,4
user_0497,friend_circles,friend_circles_15,4
user_0498,friend_circles,friend_circles_15,4
user_0499,friend_circles,friend_circles_16,4
user_0500,friend_circles,friend_circles_16,4
user_0501,friend_circles,friend_circles_16,4
user_0502,friend_circles,friend_circles_16,4
user_0503,friend_circles,friend_circles_17,4
user_0504,friend_circles,friend_circles_17,4
user_0505,friend_circles,friend_circles_17,4
user_0506,friend_circles,friend_circles_17,4
user_0507,friend_circles,friend_circles_18,4
user_0508,friend_circles,friend_circles_18,4
user_0509,friend_circles,friend_circles_18,4
user_0510,friend_circles,friend_circles_18,4
user_0511,friend_circles,friend_circles_19,4
user_0512,friend_circles,friend_circles_19,4
user_0513,friend_circles,friend_circles_19,4
user_0514,friend_circles,friend_circles_19,4
user_0515,friend_circles,friend_circles_20,4
user_0516,friend_circles,friend_circles_20,4
user_0517,friend_circles,friend_circles_20,4
user_0518,friend_circles,friend_circles_20,4
user_0519,friend_circles,friend_circles_21,4
user_0520,friend_circles,friend_circles_21,4
user_0521,friend_circles,friend_circles_21,4
user_0522,friend_circles,friend_circles_21,4
user_0523,friend_circles,friend_circles_22,4
user_0524,friend_circles,friend_circles_22,4
user_0525,friend_circles,friend_circles_22,4
user_0526,friend_circles,friend_circles_22,4
user_0527,friend_circles,friend_circles_23,4
user_0528,friend_circles,friend_circles_23,4
user_0529,friend_circles,friend_circles_23,4
user_0530,friend_circles,friend_circles_23,4
user_0531,friend_circles,friend_circles_24,4
user_0532,friend_circles,friend_circles_24,4
user_0533,friend_circles,friend_circles_24,4
user_0534,friend_circles,friend_circles_24,4
user_0535,friend_circles,friend_circles_25,4
user_0536,friend_circles,friend_circles_25,4
user_0537,friend_circles,friend_circles_25,4
user_0538,friend_circles,friend_circles_25,4
user_0539,friend_circles,friend_circles_26,4
user_0540,friend_circles,friend_circles_26,4
user_0541,friend_circles,friend_circles_26,4
user_0542,friend_circles,friend_circles_26,4
user_0543,friend_circles,friend_circles_27,4
user_0544,friend_circles,friend_circles_27,4
user_0545,friend_circles,friend_circles_27,4
user_0546,friend_circles,friend_circles_27,4
user_0547,friend_circles,friend_circles_28,4
